Small_up_width,Small_depth,Small_scallps_length,Small_scallps_height,Small_angle,Large_up_width,Large_depth,Large_scallps_length,Large_scallps_height,Large_angle
42.8,190.5,0.9937,0.2345,89.55186892045758,53.22,199.9,1.05,0.2121,89.78790053443001
31.26,179.4,0.8485,0.2456,90.0,53.22,199.9,1.05,0.2121,89.78790053443001
22.7,163.8,0.9937,0.2345,89.47882565989795,53.22,199.9,1.05,0.2121,89.78790053443001
19.54,158.8,0.8709,0.1786,89.79795022969526,53.22,199.9,1.05,0.2121,89.78790053443001
18.14,153.8,1.038,0.201,89.5864940762753,53.22,199.9,1.05,0.2121,89.78790053443001
15.07,149.1,1.15,0.2121,89.89240241847996,53.22,199.9,1.05,0.2121,89.78790053443001
14.07,142.0,0.8709,0.2233,89.63686259791095,53.22,199.9,1.05,0.2121,89.78790053443001
12.06,134.9,0.8262,0.1786,89.5243157994029,53.22,199.9,1.05,0.2121,89.78790053443001
10.5,130.4,0.7704,0.1675,89.802277619382,53.22,199.9,1.05,0.2121,89.78790053443001
9.602,126.4,0.7369,0.1563,89.79738048514297,53.22,199.9,1.05,0.2121,89.78790053443001
8.485,120.6,0.882,0.1675,89.68169338854864,53.22,199.9,1.05,0.2121,89.78790053443001
7.257,115.2,0.8932,0.1675,89.90749126971414,53.22,199.9,1.05,0.2121,89.78790053443001
6.699,108.5,0.5303,0.1228,89.60712081247014,53.22,199.9,1.05,0.2121,89.78790053443001
5.396,101.2,0.5248,0.1116,90.0,53.22,199.9,1.05,0.2121,89.78790053443001
4.466,91.27,0.4466,0.1061,89.73696983710173,53.22,199.9,1.05,0.2121,89.78790053443001
3.629,83.04,0.3964,0.1116,89.71090163917836,53.22,199.9,1.05,0.2121,89.78790053443001
41.68,187.2,1.25,0.2568,89.88675528411083,52.85,194.3,1.373,0.2233,89.77883879971934
32.75,175.3,1.161,0.1675,89.87906784404252,52.85,194.3,1.373,0.2233,89.77883879971934
22.7,160.4,0.9714,0.1451,89.60350810433061,52.85,194.3,1.373,0.2233,89.77883879971934
